ID,Applies To,Country,Date Start,Date end intended,Description of measure implemented,Exceptions,Implementing City,Implementing State/Province,Keywords,Quantity,Source,Target city,Target country,Target region,Target state
141,,Vietnam,"Feb 04, 2020",,The Nanning–Hanoi through train shall cease service as per agreement between the two national operators.,,,,international travel ban - risk countries,,https://news.zing.vn/dung-tau-khach-lien-van-quoc-te-viet-nam-trung-quoc-post1042917.html,,China,,
138,,Vietnam,"Feb 03, 2020","Feb 10, 2020",Lunar New Year holidays was extended for one week to all k-through-12 students in Ho Chi Minh City; public schools will resume on 10 February.,,,,school closure,,https://tuoitrenews.vn/news/education/20200202/ho-chi-minh-city-allows-k12-students-one-week-off-to-avoid-coronavirus-spread/52828.html,,,,
129,,Vietnam,"Feb 01, 2020","May 01, 2020","With the sixth case being another domestic transmission, Vietnamese Prime Minister Nguyễn Xuân Phúc signed an epidemic declaration.[13] Aviation permits which already had been granted for flights between Vietnam and China Mainland-Hong Kong-Macau were all revoked, effective immediately from 13:00 (UTC+7, 1 February) for an unspecified time.[13][713] It perhaps lasts until 1 May, according to the United States Federal Aviation Administration.",,,,international travel ban - risk countries,,https://en.vietnamplus.vn/vietnam-declares-novel-coronavirus-epidemic/168021.vnp,,"China, Hong Kong, Macau",,
126,,Vietnam,"Feb 01, 2020","Feb 02, 2020","International border gates Móng Cái (Quảng Ninh Province, Vietnam) - Dongxing (Guangxi, China) ceased functioning on 1 February for an unspecified time; border gates Hoành Mô and Bắc Phong Sinh experienced a 24-hour closure, awaiting further measurements from authorities.",,,Quang Ninh,international travel ban - risk countries,,https://vtc.vn/tin-tuc-trong-ngay/quang-ninh-dong-cua-cac-diem-xuat-hang-tren-tuyen-bien-gioi-giap-trung-quoc-ar524858.html,,China,,
20,,Vietnam,"Jan 16, 2020",,"Two tourists from Wuhan presenting with fevers were quarantined at the airport in Danang ",,Danang,,international traveller screening - risk countries,,https://www.straitstimes.com/asia/east-asia/japan-confirms-first-case-of-infection-with-new-china-coronavirus,,,,
,,Vietnam,,,,,,,,,,,,,
,,Vietnam,,,,,,,,,,,,,
724,,South Korea,"Mar 21, 2020",,"Korean government asked religious activities, indoor sports and bars to halt operation for 15 days to prevent further spread and disinfect public spaces effectively - failure to comply will lead to penalty up to 3 million won (US$4000) ",,,,religious activity limitations,,https://news.naver.com/main/read.nhn?mode=LPOD&mid=sec&oid=001&aid=0011489054&isYeonhapFlash=Y&rc=N,,,,
,,South Korea,"Mar 17, 2020",,"Child cares, Kindergartens- remain to be closed until 5 April 2020/ All schools postponed commencements to 3 April 2020 ",,,,school closure,,https://www.moe.go.kr/boardCnts/view.do?boardID=294&boardSeq=80044&lev=0&searchType=null&statusYN=W&page=1&s=moe&m=020402&opType=N,,,,
,,South Korea,"Mar 13, 2020",,"Special Entry Measure extended to students from Hong Kong Macau (12.Feb~), Italy, Iran (1 March~), France, Germany, Spain, UK and the Netherland (special entry measure involves- remote school, 14 days quarantine after arrival, constant health monitoring) ",,,,international traveller quarantine - risk countries,,https://www.moe.go.kr/boardCnts/view.do?boardID=294&boardSeq=80033&lev=0&searchType=null&statusYN=W&page=2&s=moe&m=020402&opType=N,,"China, France, Germany, Hong Kong, Iran, Italy, Spain, United Kingdom, the Netherlands",Macau,
,,South Korea,"Mar 11, 2020",,"appointed Italy & Iran as quarantine countries- when enter into Korea, special entry measures implemented -file self-health questionnaire, install self diagnosis app, ",,,,,,,,,,
672,,South Korea,"Mar 11, 2020",,"air travel continues on Korea-US routes for economic purposes- installed quarantine centers in Incheon airport - every passenger regardless of nationalities must get checked on fever and fill out self-questionnaires before departure and arrival. ",,,,international traveller screening - all countries,,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,
,,South Korea,"Mar 10, 2020",,"Ministry of Land, Infrastructure and Transport, Ministry of Science and ICT & Future Planning and KCDC co-developed source tracing data hub for COVID-19 in Korea for quick and accurate data analysis- will officially activate from 16 March. ",,,,epidemic data,,,,,,
,,South Korea,"Mar 09, 2020",,"Released COVID-19 preventive strategy encourage all people to wear masks, thorough hand-sanitization and social distancing",,,,"personal hygiene, social distancing",,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,
671,,South Korea,"Mar 05, 2020",,"Discourage people to participate in group and indoor activities and all workforces nationwide- work remotely ",,,,"remote work, social distancing",,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,
670,,South Korea,"Mar 04, 2020",,"Gyeongsan-city- added to infectious disease special management city ",,,Gyeongbook Province,special management arrangements,,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,
,,South Korea,"Mar 02, 2020",,"Ministry of Education- provide e-learning resources to students for free so students can preview contents before the semester begins ",,,,remote schooling,,https://www.moe.go.kr/boardCnts/view.do?boardID=294&boardSeq=79917&lev=0&searchType=null&statusYN=W&page=4&s=moe&m=020402&opType=N,,,,
,,South Korea,"Mar 02, 2020",,"Ministry of Education- postponed commencement of kindergarten, primary and high schools for another two weeks (9 March to 23 March)  ",,,,school closure,,https://www.moe.go.kr/boardCnts/view.do?boardID=294&boardSeq=79917&lev=0&searchType=null&statusYN=W&page=4&s=moe&m=020402&opType=N,,,,
669,,South Korea,"Mar 02, 2020",,"For monitoring purpose, patients who carry potential risks after release from hospital- allocated to regional 'monitoring centre' in national accommodation facilities or hotels, monitor potential further symptoms and provide living & medical supports",,,,discharged patient isolation,,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,
668,,South Korea,"Mar 02, 2020",,"For patients with COVID-19 positive, state and municipals medical staffs divide them into 4 levels depend on the severity. Critical patients straightforwardly hospitalise to negative pressure room and specialised infectious disease hospital",,,,"hospital specialisation, hospital treatment, task group, treatment capacity",,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,
667,,South Korea,"Mar 02, 2020",,"KCDC announced national disinfecting strategy in public spaces to damage minimisation. ",,,,"public announcement, public hygiene",,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,
,,South Korea,"Mar 01, 2020",,"Both ministry of education in Korea and China agreed to discourage both Korean and China international students to enter into both countries for upcoming semester until COVID19 resolved.  (if they enter in either nations- special entry procedure will be implemented) ",,,,university closure,,https://www.moe.go.kr/boardCnts/view.do?boardID=294&boardSeq=79905&lev=0&searchType=null&statusYN=W&page=4&s=moe&m=020402&opType=N,,,,
657,,South Korea,"Feb 29, 2020",,"Avoid activities in confined space, call for non-essential event restriction in churches ",,,,"religious activity limitations, social distancing",,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,
656,,South Korea,"Feb 29, 2020",,"All Nations- maintain personal hygiene and practice social distancing until early March perhaps longer ",,,,"personal hygiene, social distancing",,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,
655,,South Korea,"Feb 29, 2020",,"KCDC- ask all workers to enact Business Continuity Planning and work remotely ",,,,remote work,,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,
651,,South Korea,"Feb 27, 2020",,"All medical staffs must wear individual protection gear or full-bodie gear for examinations ",,,,medical staff protective equipment,,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015&list_no=366607&act=view,,,,
649,,South Korea,"Feb 27, 2020",,"all national, state and local authorities are conducting epidemiologic survey and disinfecting public spaces after briefing from Korean CDC (KCDC)",,,,"epidemic data, public hygiene",,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,
647,,South Korea,"Feb 26, 2020",,"Limit all church activities and self-isolate first if you exhibit any slight symptom and contact the hospital ",,,"Daegu, Gyeongbook Province","confirmed case isolation, religious activity cancellation, symptom isolation",,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,
646,,South Korea,"Feb 25, 2020",,"Strictly maintain hand-wash and cough etiquette and maintain social distance within family, use separate towel and cutleries",,,,"hygiene enforcement, individual hygiene, social distancing",,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,
644,,South Korea,"Feb 25, 2020",,"Limit outdoor activity and interstate visit and follow self-isolation protocols ",,,"Daegu, Gyeongbook Province",social distancing,,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,
641,,South Korea,"Feb 25, 2020",,"Asiade Age care facility in Busan- cohort isolation after one social worker resulted positive ",,,Busan,cohort isolation - no symptoms,,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,
637,,South Korea,"Feb 24, 2020",,"Declared Daegu and Gyeongbook as Special Management region for Infectious Disease ",,,"Daegu, Gyeongbook Province","public announcement, special management arrangements",,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,
636,,South Korea,"Feb 23, 2020",,"fast rate of transmission confirmed in the region- isolate first then conduct test ",,,"Daegu, Gyeongbook Province","confirmed case isolation, public announcement",,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,
631,,South Korea,"Feb 22, 2020",,"obtained attendance lists for the church event and conducted remote testings as soon as got in touch and asked the attendees to self-isolate ",,,"Daegu, Gyeongbook Province","cohort isolation - no symptoms, test cohorts",,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015&list_no=366607&act=view,,,,
633,,South Korea,"Feb 22, 2020",,"patients in Chungdo Dae-nam Hospital received positive- cohort isolation ",,,"Daegu, Gyeongbook Province",cohort isolation - no symptoms,,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015&list_no=366607&act=view,,,,
627,,South Korea,"Feb 21, 2020",,"Response team disinfecting the hospital and church facility, transferred 92 patients to quarantined hospital and no further accepting of other new patients and consultations",,,"Daegu, Gyeongbook Province","hospital specialisation, public facility cleaning",,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,
622,,South Korea,"Feb 19, 2020",,"Government asked to self-isolate whoever attended services by Shin-Cheon-ji (cult church) in Korea and Cheongdo-Daenam Hospital (currently found 49 people) ",,,"Daegu, Gyeongbook Province",cluster isolation - no symptoms,,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,
621,,South Korea,"Feb 18, 2020",,"13 high level medical hospitals test added to test COVID-19 under Severe Acute Respiratory Infection surveillance (SARI)  ",,,,testing,,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,
614,,South Korea,"Feb 07, 2020",,Authorise medical professional to test any patient who hasn't been to overseas but exhibit symptoms,,,,"test symptomatic, testing criteria",,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,
617,,South Korea,"Feb 04, 2020",,"Disinfecting surfaces of facilities where cases have found with sodium hypochlorite and ove r 70% ethyl alcohol (narrow range) ",,,,public facility cleaning,,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,
606,,South Korea,"Jan 31, 2020",,"Extended regional and local triage check-up centre for Covid ",,,,expansion of testing facilities,,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,
605,,South Korea,"Jan 30, 2020",,"Implemented new testing method (Real Time- RT PCR)- gene amplification method allows to test COVID-19 virus and receive results within 6 hours. Will distribute kits across private hospitals ",,,,new testing method commenced,,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,
13,,South Korea,"Jan 08, 2020",,"First possible case in South Korea announced, Chinese woman travelling from Wuhan who worked near Seoul",,Seoul,,first case,,https://apnews.com/30c5bf016c52748eebc6371fe3b17321,,,,
,,South Korea,"Mar 13, 2020",,Use designated public relief hospitals- where using seperate entrances for non-respiratory symptom patients and respiratory symptom patients,,,,hospital specialisation,,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,
,,South Korea,"Mar 12, 2020",,"Business Intensive Care Policy- nationally increased disinfecting, santising, ventilation processes in confined facilities (gym, karaoke, call centres, computer rooms, club and private academies), each business appoint one personnel as infection management officer- check temperature of staffs and customers twice a day & block use of common rooms ",,,,"public facility cleaning, public hygiene",,https://www.cdc.go.kr/board/board.es?mid=a20501000000&bid=0015,,,,
,,Singapore,"Mar 23, 2020",,All short-term visitors banned,,,,international travel ban - all countries,,,,,,
145,,Singapore,"Feb 07, 2020",,Contagion threat level raised to Orange,,,,public announcement,,https://www.straitstimes.com/singapore/coronavirus-outbreak-alert-upped-to-orange-as-more-cases-surface-with-no-known-links-more,,,,
,,Israel,"Jan 30, 2020",,Israel suspended all flights from China.,,,,international travel ban - risk countries,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Israel,,,,
,,Japan,"Mar 24, 2020",,2020 Tokyo Olympic postponed for a year,,,,very large event cancellation or postponement,,https://www.japantimes.co.jp/sports/2020/03/24/olympics/2020-tokyo-games-postponed-ioc-dick-pound/#.XnyWftMzY_U,,,,
,,Sweden,"Mar 20, 2020",,"SEK 1 billion to culture and sport as a result of the impact of the COVID-19 virus.
The cultural sector and sports movement will receive an extra SEK 1 billion in support due to the economic consequences affecting these sectors as a result of the spread of the COVID-19 virus.
The money will be distributed by grant-allocating agencies in the area of culture and by the Swedish Sports Confederation.",,,,"economic stimulus, financial incentive",,https://www.government.se/press-releases/2020/03/sek-1-billion-to-culture-and-sport-as-a-result-of-the-impact-of-the-covid-19-virus/,,,,
,,Sweden,"Mar 20, 2020",,"Increased loan facilities and credit guarantees for Swedish businesses.
A range of measures were presented to make it easier for Swedish businesses, particularly small- and medium-sized businesses, to access finance at this difficult time.",,,,"economic incentives, economic stimulus",,https://www.government.se/press-releases/2020/03/increased-loan-facilities-and-credit-guarantees-for-swedish-businesses/,,,,
,,Sweden,"Mar 19, 2020",,"Delivery of face masks to medical care services.
On 19 March, the National Board of Health and Welfare signed a contract a medical and safety technology company to secure sizable deliveries of face masks to Swedish medical care services.
“Some 200 000 extra face masks per month is a substantial increase on current deliveries. This is a significant contribution in this situation. It is a long-term solution, based on domestic Swedish production,” says Minister for Health and Social Affairs Lena Hallengren.",,,,"hygiene enforcement, manufacturing capacity",,https://www.government.se/articles/2020/03/s-work-in-the-areas-of-public-health-medical-care-social-care-and-social-insurance-with-regard-to-the-covid-19-virus/,,,,
,,Sweden,"Mar 18, 2020",,"High schools and universities told to  stop in-person classes ",,,,"compulsory isolation, school closure, university closure",,https://www.theguardian.com/world/2020/mar/12/how-do-coronavirus-containment-measures-vary-across-europe,,,,
,,Sweden,"Mar 18, 2020",,"The Government proposes that airlines be able to receive credit guarantees in 2020 amounting to a maximum of SEK 5 billion, of which SEK 1.5 billion is intended for SAS. It will also be proposed that the Swedish Export Credit Agency’s credit guarantee framework be expanded to support Swedish export companies and, by extension, the shipping industry. The proposal is based on an agreement between the Government, the Centre Party and the Liberal Party.",,,,"economic stimulus, financial incentive",,,,,,
,,Sweden,"Mar 17, 2020",,"Temporary entry ban to the EU via Sweden. In response to the European Council’s and the European Commission’s call for travel restrictions, the Government decided on 17 March to temporarily stop non-essential travel to Sweden so as to mitigate the effects of the outbreak of the COVID-19 virus and reduce the spread of the disease.",,,,international travel ban - all countries,,,,,,
,,Sweden,"Mar 11, 2020",,"Stockholm region decided to only test hospitalised patients from risk groups and health care staff with symptoms. Other regions will follow suit within the coming week. This means the data on the Public Health Agency of Sweden's website is not reflecting the actual infected persons in the country, since local transmission has been ongoing since at least early March.",,,,"new testing method commenced, testing criteria, testing criteria tightened",,,,,,
418,,Sweden,"Mar 11, 2020",,"The Swedish government passed a new law, temporarily banning all gatherings larger than 500 people, with threat of fine and prison.",,,,"compulsory isolation, outdoor gatherings banned",500,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Sweden,,,,
419,,Sweden,"Jan 31, 2020",,"The first confirmed case of the pandemic of COVID-19 in Sweden was announced on 31 January 2020, when a woman returning from Wuhan tested positive.",,,,"case reporting, first case",,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Sweden,,,,
417,,San Marino,"Mar 14, 2020","Apr 06, 2020",the Government ordered a nationwide quarantine,,,,blanket isolation - no symptoms,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_San_Marino,,,,
416,,San Marino,"Feb 27, 2020",,"confirmed first case, an 88-year-old man with pre-existing medical conditions, who came from Italy. He was hospitalised at a hospital in Rimini, Italy.",,,,"case reporting, first case",,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_San_Marino,,,,
,,San Marino,"Mar 08, 2020",,"San Marino: Law decree containing urgent containment measures for coronavirus published in official gazette.Article 5(2) of the Law Decree provides that the collection of personal data carried out in the framework of the surveillance activities referred to in the Law Decree, as well as within the activities of the Emergency Coordination Health Group, including police activities, can be carried on the basis of public interest in relation to public health.",,,,"contact tracing, phone based location tracing",,https://platform.dataguidance.com/news/san-marino-law-decree-containing-urgent-containment-measures-coronavirus-published-official,,,,
,,Slovenia,"Mar 19, 2020",,"The report states: “9860 infection tests were performed”, quoting a Minister of Health.",,,,testing numbers total,9860,https://ourworldindata.org/coronavirus-testing-source-data,,,,
428,,Slovenia,"Mar 14, 2020",,CMS stops public transport,,,,public transport stopped,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Slovenia,,,,
426,,Slovenia,"Mar 16, 2020",,all educational institutions are closed,,,,"nursery school closure, school closure, university closure",,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Slovenia,,,,
424,,Slovenia,"Mar 11, 2020","Mar 25, 2020","primary school in Kamnik was closed for two weeks, to prevent spread from a teacher that tested positive",,,,cohort isolation - no symptoms,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Slovenia,,,,
423,,Slovenia,"Mar 10, 2020",,land border with Italy was closed for all but freight transport,freight transport,,,international travel ban - risk countries,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Slovenia,,Italy,,
422,,Slovenia,"Mar 09, 2020",,government restricted public gatherings in open spaces to events of 500 people or more,,,,outdoor gatherings banned,500,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Slovenia,,,,
420,,Slovenia,"Mar 04, 2020",,The first case was officially confirmed. It was imported case from by a tourist traveling from Morocco via Italy.,,,,"case reporting, first case",,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Slovenia,,,,
421,,Slovenia,"Mar 09, 2020",,government restricted public gatherings in closed spaces to events of 100 people or more,,,,indoor gatherings banned,100,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Slovenia,,,,
427,,Slovenia,"Mar 16, 2020",,The government closed all restaurants and bars,,,,limited nonessential business suspension,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Slovenia,,,,
425,,Slovenia,"Mar 12, 2020",,Epidemic is declared,,,,public announcement,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Slovenia,,,,
,,Slovenia,"Mar 20, 2020",,"Slovenia enforced a ban on all kinds of public gatherings from midnight on Friday (20 March), with only essential trips outside allowed, including work or going to the nearest shop, pharmacy or doctor. Violations will entail a 400 euro fine",,,,"blanket curfew - no symptoms, compulsory isolation",,https://www.euractiv.com/section/coronavirus/short_news/slovenia-update-covid-19/,,,,
,,Slovenia,"Mar 16, 2020",,"The provision and sale of goods and services directly to consumers in the territory of the Republic of Slovenia was temporarily banned on 16 March. These include accommodation, catering, wellness, sports and recreational, cinematographic, cultural, hairdressing, cosmetics and pedicure services, including gaming and other similar activities.",,,,general nonessential business suspension,,https://www.gov.si/en/topics/coronavirus-disease-covid-19/koronavirus-preparedness-and-measures-in-slovenia/,,,,
,,Slovenia,"Mar 16, 2020",,"The Government of the Republic of Slovenia decided to change the method of monitoring the spread of novel coronavirus. People with respiratory infections not requiring hospital care will no longer be tested, but the situation will be assessed on the basis of the number of people who become ill.",,,,"new testing method commenced, testing criteria",,https://www.gov.si/en/topics/coronavirus-disease-covid-19/koronavirus-preparedness-and-measures-in-slovenia/,,,,
,,Slovenia,"Mar 23, 2020","Sep 30, 2020",Slovenia has introduced legislation providing employers with partial reimbursement of salary costs for employees who are sent home to wait for work or placed in official quarantine.,,,,economic incentives,,https://theword.iuslaboris.com/hrlaw/insights/slovenia-provides-for-partial-reimbursement-of-salaries-to-employers-hit-by-coronavirus,,,,
,,Slovenia,,,,,,,,,,,,,
,,Israel,"Mar 18, 2020",,We have not been able to find a legible version of the chart. We give the test numbers from this source as reported by Wikipedia.,,,,testing numbers total,10864,https://ourworldindata.org/coronavirus-testing-source-data,,,,
,,Israel,"Mar 17, 2020",,"Tracking coronavirus patients through their cellphones. The Israeli government passed emergency regulations that allow security services to track the cellphones of coronavirus patients. Attorney General Avichai Mandelblit approved the move, which circumvented the approval of the entire Knesset and the oversight of several committees.",,,,phone based location tracing,,https://jewishtimes.com/105052/jta-roundup-latest-coronavirus-news-from-jewish-communities-around-the-world/news/,,,,
,,Israel,"Mar 15, 2020",,"Closure of all educational institutions, among them daycare centers, special education, youth movements and after-school programs.",,,,school closure,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Israel,,,,
,,Israel,"Mar 09, 2020",,"Prime Minister Benjamin Netanyahu declared a mandatory quarantine for all people entering Israel, requiring all entrants to quarantine themselves for fourteen days upon entering the country.",,,,international traveller quarantine - risk countries,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Israel,,,,
,,Israel,"Feb 26, 2020",,Israel issued a travel warning to Italy and urged cancelling all travel abroad.,,,,outbound travel warning,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Israel,,,,
,,Israel,"Feb 17, 2020",,"Israel suspended all flights from Thailand, Hong Kong, Macau and Singapore.",,,,international travel ban - risk countries,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Israel,,,,
,,Israel,"Mar 15, 2020",,"Venues required to close: malls, restaurants, hotel dining rooms, pubs, dance clubs, gyms, pools, beaches, water and amusement parks, zoos and petting zoos, bathhouses and ritual baths for men, beauty and massage salons, event and conference venues, public boats and cable cars, and heritage sites. Take-away restaurants, supermarkets and pharmacies were to remain open",Synagoges are not controlled.,,,"general nonessential business suspension, sports cancellation",,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Israel,,,,
,,Israel,"Mar 18, 2020",,"Israel has completely closed its borders to all foreign nationals, effective immediately.",,,,international travel ban - all countries,,https://jewishtimes.com/105052/jta-roundup-latest-coronavirus-news-from-jewish-communities-around-the-world/news/,,,,
867,,Israel,"Mar 11, 2020",,Gatherings of more than 100 people banned.,,,,social distancing,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Israel,,,,
866,,Israel,"Mar 15, 2020",,Gatherings of more than 10 people banned. Attendees are advised to keep a distance of 2 m (6 ft 7 in) between one another.,,,,social distancing,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Israel,,,,
,,Israel,"Mar 19, 2020",,State of emergency declared. Israelis were not allowed to leave their homes unless absolutely necessary. Essential services would remain open.,,,,"social distancing, state of emergency",,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Israel,,,,
,,Israel,"Feb 21, 2020",,The first case confirmed.,,,,first case,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Israel,,,,
,,US:New Jersey,"Mar 17, 2020",,upcoming local special elections and school board elections would be postponed until May 12,,,,very large event cancellation or postponement,,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Jersey#Government_response,,,,
,,Canada,,,Canada advises travellers entering Canada to self-isolate for 14 days.,,,,international traveller quarantine - risk countries,,https://www.canada.ca/en/public-health/services/diseases/2019-novel-coronavirus-infection.html#a1,,,,
,,Canada,"Mar 18, 2020",,"Canada announces financial help, through the COVID-19 Economic Response Plan, for Canadians and businesses facing hardship as a result of the COVID-19 outbreak.",,,,"economic incentives, financial incentive",,https://www.canada.ca/en/public-health/services/diseases/2019-novel-coronavirus-infection.html#a1,,,,
,,Canada,"Mar 12, 2020",,"Masks should be used by a symptomatic individual, if available, to provide a physical barrier that may help to prevent the transmission of the virus by blocking the dispersion of large particle respiratory droplets propelled by coughing, sneezing and talking. A face mask should always be combined with other measures such as respiratory etiquette and hand hygiene",,,,"handwashing encouragement, public mask encouragement",,https://www.canada.ca/en/public-health/services/diseases/2019-novel-coronavirus-infection/health-professionals/public-health-measures-mitigate-covid-19.html,,,,
,,Canada,"Mar 12, 2020",,"Voluntary home quarantine (""self-isolation"") is recommended for an asymptomatic person, when they have a high risk of exposure to the virus that causes COVID-19, (i.e., through close contact with a symptomatic person or their body fluids). They are asked to self- isolate in the home-setting to avoid contact with others in order to prevent transmission of the virus at the earliest stage of illness (i.e., should they develop COVID-19).",,,,contact isolation - no symptoms,,https://www.canada.ca/en/public-health/services/diseases/2019-novel-coronavirus-infection/health-professionals/public-health-measures-mitigate-covid-19.html,,,,
,,Canada,"Mar 12, 2020",,"Isolation is recommended for a symptomatic individual that is suspected of having, or known to have, COVID-19. They are directed by PHA to isolate themselves in the home-setting and avoid contact with others until PHA has advised that they are no longer considered contagious",,,,contact isolation - symptoms,,https://www.canada.ca/en/public-health/services/diseases/2019-novel-coronavirus-infection/health-professionals/public-health-measures-mitigate-covid-19.html,,,,
